,STATE,LGA,CANDIDATE,PARTY,VOTES
47,Abia,Arochukwu,Nnadi Charles Osita,APP,
48,Abia,Arochukwu,Adenuga Sunday Oluwafemi,BP,
49,Abia,Arochukwu,Osakwe Felix Johnson,NRM,
50,Abia,Arochukwu,Abiola Latifu Kolawole,PRP,
51,Abia,Arochukwu,Adebayo Adewole Ebenezer,SDP,
52,Abia,Arochukwu,Ado-Ibrahim Abdulmalik,YPP,
53,Abia,Arochukwu,Nwanyanwu Daniel Daberechukwu,ZLP,
54,Abia,Bende,Tinubu Bola Ahmed,APC,
55,Abia,Bende,Abubakar Atiku,PDP,
56,Abia,Bende,Obi Peter Gregory,LP,
57,Abia,Bende,Musa Mohammed Rabiu Kwankwaso,NNPP,
58,Abia,Bende,Kachikwu Dumebi,ADC,
59,Abia,Bende,Umeadi Peter Nnanna Chukwudi,APGA,
60,Abia,Bende,Sani Yabagi Yusuf,ADP,
61,Abia,Bende,Imumolen Irene Christopher,A,
62,Abia,Bende,Almustapha Hamza,AA,
63,Abia,Bende,Sowore Omoyele Stephen,AAC,
64,Abia,Bende,Ojei Princess Chichi,APM,
65,Abia,Bende,Nnadi Charles Osita,APP,
66,Abia,Bende,Adenuga Sunday Oluwafemi,BP,
67,Abia,Bende,Osakwe Felix Johnson,NRM,
68,Abia,Bende,Abiola Latifu Kolawole,PRP,
69,Abia,Bende,Adebayo Adewole Ebenezer,SDP,
70,Abia,Bende,Ado-Ibrahim Abdulmalik,YPP,
71,Abia,Bende,Nwanyanwu Daniel Daberechukwu,ZLP,
72,Abia,Ikwuano,Tinubu Bola Ahmed,APC,407
73,Abia,Ikwuano,Abubakar Atiku,PDP,1065
74,Abia,Ikwuano,Obi Peter Gregory,LP,14997
75,Abia,Ikwuano,Musa Mohammed Rabiu Kwankwaso,NNPP,91
76,Abia,Ikwuano,Kachikwu Dumebi,ADC,39
77,Abia,Ikwuano,Umeadi Peter Nnanna Chukwudi,APGA,79
78,Abia,Ikwuano,Sani Yabagi Yusuf,ADP,23
79,Abia,Ikwuano,Imumolen Irene Christopher,A,17
80,Abia,Ikwuano,Almustapha Hamza,AA,12
81,Abia,Ikwuano,Sowore Omoyele Stephen,AAC,12
82,Abia,Ikwuano,Ojei Princess Chichi,APM,19
83,Abia,Ikwuano,Nnadi Charles Osita,APP,18
84,Abia,Ikwuano,Adenuga Sunday Oluwafemi,BP,23
85,Abia,Ikwuano,Osakwe Felix Johnson,NRM,5
86,Abia,Ikwuano,Abiola Latifu Kolawole,PRP,1
87,Abia,Ikwuano,Adebayo Adewole Ebenezer,SDP,15
88,Abia,Ikwuano,Ado-Ibrahim Abdulmalik,YPP,25
89,Abia,Ikwuano,Nwanyanwu Daniel Daberechukwu,ZLP,29
90,Abia,Isiala Ngwa North,Tinubu Bola Ahmed,APC,
91,Abia,Isiala Ngwa North,Abubakar Atiku,PDP,
92,Abia,Isiala Ngwa North,Obi Peter Gregory,LP,
93,Abia,Isiala Ngwa North,Musa Mohammed Rabiu Kwankwaso,NNPP,
94,Abia,Isiala Ngwa North,Kachikwu Dumebi,ADC,
95,Abia,Isiala Ngwa North,Umeadi Peter Nnanna Chukwudi,APGA,
96,Abia,Isiala Ngwa North,Sani Yabagi Yusuf,ADP,
97,Abia,Isiala Ngwa North,Imumolen Irene Christopher,A,
98,Abia,Isiala Ngwa North,Almustapha Hamza,AA,
99,Abia,Isiala Ngwa North,Sowore Omoyele Stephen,AAC,
100,Abia,Isiala Ngwa North,Ojei Princess Chichi,APM,
101,Abia,Isiala Ngwa North,Nnadi Charles Osita,APP,
102,Abia,Isiala Ngwa North,Adenuga Sunday Oluwafemi,BP,
103,Abia,Isiala Ngwa North,Osakwe Felix Johnson,NRM,
104,Abia,Isiala Ngwa North,Abiola Latifu Kolawole,PRP,
105,Abia,Isiala Ngwa North,Adebayo Adewole Ebenezer,SDP,
106,Abia,Isiala Ngwa North,Ado-Ibrahim Abdulmalik,YPP,
107,Abia,Isiala Ngwa North,Nwanyanwu Daniel Daberechukwu,ZLP,
108,Abia,Isiala Ngwa South,Tinubu Bola Ahmed,APC,772
109,Abia,Isiala Ngwa South,Abubakar Atiku,PDP,2691
110,Abia,Isiala Ngwa South,Obi Peter Gregory,LP,14125
111,Abia,Isiala Ngwa South,Musa Mohammed Rabiu Kwankwaso,NNPP,75
112,Abia,Isiala Ngwa South,Kachikwu Dumebi,ADC,31
113,Abia,Isiala Ngwa South,Umeadi Peter Nnanna Chukwudi,APGA,153
114,Abia,Isiala Ngwa South,Sani Yabagi Yusuf,ADP,18
115,Abia,Isiala Ngwa South,Imumolen Irene Christopher,A,13
116,Abia,Isiala Ngwa South,Almustapha Hamza,AA,16
117,Abia,Isiala Ngwa South,Sowore Omoyele Stephen,AAC,22
118,Abia,Isiala Ngwa South,Ojei Princess Chichi,APM,48
119,Abia,Isiala Ngwa South,Nnadi Charles Osita,APP,35
120,Abia,Isiala Ngwa South,Adenuga Sunday Oluwafemi,BP,20
121,Abia,Isiala Ngwa South,Osakwe Felix Johnson,NRM,25
122,Abia,Isiala Ngwa South,Abiola Latifu Kolawole,PRP,11
123,Abia,Isiala Ngwa South,Adebayo Adewole Ebenezer,SDP,17
124,Abia,Isiala Ngwa South,Ado-Ibrahim Abdulmalik,YPP,255
125,Abia,Isiala Ngwa South,Nwanyanwu Daniel Daberechukwu,ZLP,82
126,Abia,Isuikwuato,Tinubu Bola Ahmed,APC,
127,Abia,Isuikwuato,Abubakar Atiku,PDP,
128,Abia,Isuikwuato,Obi Peter Gregory,LP,
129,Abia,Isuikwuato,Musa Mohammed Rabiu Kwankwaso,NNPP,
130,Abia,Isuikwuato,Kachikwu Dumebi,ADC,
131,Abia,Isuikwuato,Umeadi Peter Nnanna Chukwudi,APGA,
132,Abia,Isuikwuato,Sani Yabagi Yusuf,ADP,
133,Abia,Isuikwuato,Imumolen Irene Christopher,A,
134,Abia,Isuikwuato,Almustapha Hamza,AA,
135,Abia,Isuikwuato,Sowore Omoyele Stephen,AAC,
136,Abia,Isuikwuato,Ojei Princess Chichi,APM,
137,Abia,Isuikwuato,Nnadi Charles Osita,APP,
138,Abia,Isuikwuato,Adenuga Sunday Oluwafemi,BP,
139,Abia,Isuikwuato,Osakwe Felix Johnson,NRM,
140,Abia,Isuikwuato,Abiola Latifu Kolawole,PRP,
141,Abia,Isuikwuato,Adebayo Adewole Ebenezer,SDP,
142,Abia,Isuikwuato,Ado-Ibrahim Abdulmalik,YPP,
143,Abia,Isuikwuato,Nwanyanwu Daniel Daberechukwu,ZLP,
144,Abia,Obingwa,Tinubu Bola Ahmed,APC,
145,Abia,Obingwa,Abubakar Atiku,PDP,
146,Abia,Obingwa,Obi Peter Gregory,LP,
147,Abia,Obingwa,Musa Mohammed Rabiu Kwankwaso,NNPP,
148,Abia,Obingwa,Kachikwu Dumebi,ADC,
149,Abia,Obingwa,Umeadi Peter Nnanna Chukwudi,APGA,
150,Abia,Obingwa,Sani Yabagi Yusuf,ADP,
151,Abia,Obingwa,Imumolen Irene Christopher,A,
152,Abia,Obingwa,Almustapha Hamza,AA,
153,Abia,Obingwa,Sowore Omoyele Stephen,AAC,
154,Abia,Obingwa,Ojei Princess Chichi,APM,
155,Abia,Obingwa,Nnadi Charles Osita,APP,
156,Abia,Obingwa,Adenuga Sunday Oluwafemi,BP,
157,Abia,Obingwa,Osakwe Felix Johnson,NRM,
158,Abia,Obingwa,Abiola Latifu Kolawole,PRP,
159,Abia,Obingwa,Adebayo Adewole Ebenezer,SDP,
160,Abia,Obingwa,Ado-Ibrahim Abdulmalik,YPP,
161,Abia,Obingwa,Nwanyanwu Daniel Daberechukwu,ZLP,
162,Abia,Ohafia,Tinubu Bola Ahmed,APC,
163,Abia,Ohafia,Abubakar Atiku,PDP,
164,Abia,Ohafia,Obi Peter Gregory,LP,
165,Abia,Ohafia,Musa Mohammed Rabiu Kwankwaso,NNPP,
166,Abia,Ohafia,Kachikwu Dumebi,ADC,
167,Abia,Ohafia,Umeadi Peter Nnanna Chukwudi,APGA,
168,Abia,Ohafia,Sani Yabagi Yusuf,ADP,
169,Abia,Ohafia,Imumolen Irene Christopher,A,
170,Abia,Ohafia,Almustapha Hamza,AA,
171,Abia,Ohafia,Sowore Omoyele Stephen,AAC,
172,Abia,Ohafia,Ojei Princess Chichi,APM,
173,Abia,Ohafia,Nnadi Charles Osita,APP,
174,Abia,Ohafia,Adenuga Sunday Oluwafemi,BP,
175,Abia,Ohafia,Osakwe Felix Johnson,NRM,
176,Abia,Ohafia,Abiola Latifu Kolawole,PRP,
177,Abia,Ohafia,Adebayo Adewole Ebenezer,SDP,
178,Abia,Ohafia,Ado-Ibrahim Abdulmalik,YPP,
179,Abia,Ohafia,Nwanyanwu Daniel Daberechukwu,ZLP,
180,Abia,Osisioma,Tinubu Bola Ahmed,APC,
181,Abia,Osisioma,Abubakar Atiku,PDP,
182,Abia,Osisioma,Obi Peter Gregory,LP,
183,Abia,Osisioma,Musa Mohammed Rabiu Kwankwaso,NNPP,
184,Abia,Osisioma,Kachikwu Dumebi,ADC,
185,Abia,Osisioma,Umeadi Peter Nnanna Chukwudi,APGA,
186,Abia,Osisioma,Sani Yabagi Yusuf,ADP,
187,Abia,Osisioma,Imumolen Irene Christopher,A,
188,Abia,Osisioma,Almustapha Hamza,AA,
189,Abia,Osisioma,Sowore Omoyele Stephen,AAC,
190,Abia,Osisioma,Ojei Princess Chichi,APM,
191,Abia,Osisioma,Nnadi Charles Osita,APP,
192,Abia,Osisioma,Adenuga Sunday Oluwafemi,BP,
193,Abia,Osisioma,Osakwe Felix Johnson,NRM,
194,Abia,Osisioma,Abiola Latifu Kolawole,PRP,
195,Abia,Osisioma,Adebayo Adewole Ebenezer,SDP,
196,Abia,Osisioma,Ado-Ibrahim Abdulmalik,YPP,
197,Abia,Osisioma,Nwanyanwu Daniel Daberechukwu,ZLP,
198,Abia,Ugwunagbo,Tinubu Bola Ahmed,APC,
199,Abia,Ugwunagbo,Abubakar Atiku,PDP,
200,Abia,Ugwunagbo,Obi Peter Gregory,LP,
201,Abia,Ugwunagbo,Musa Mohammed Rabiu Kwankwaso,NNPP,
202,Abia,Ugwunagbo,Kachikwu Dumebi,ADC,
203,Abia,Ugwunagbo,Umeadi Peter Nnanna Chukwudi,APGA,
204,Abia,Ugwunagbo,Sani Yabagi Yusuf,ADP,
205,Abia,Ugwunagbo,Imumolen Irene Christopher,A,
206,Abia,Ugwunagbo,Almustapha Hamza,AA,
207,Abia,Ugwunagbo,Sowore Omoyele Stephen,AAC,
208,Abia,Ugwunagbo,Ojei Princess Chichi,APM,
209,Abia,Ugwunagbo,Nnadi Charles Osita,APP,
210,Abia,Ugwunagbo,Adenuga Sunday Oluwafemi,BP,
211,Abia,Ugwunagbo,Osakwe Felix Johnson,NRM,
212,Abia,Ugwunagbo,Abiola Latifu Kolawole,PRP,
213,Abia,Ugwunagbo,Adebayo Adewole Ebenezer,SDP,
214,Abia,Ugwunagbo,Ado-Ibrahim Abdulmalik,YPP,
215,Abia,Ugwunagbo,Nwanyanwu Daniel Daberechukwu,ZLP,
216,Abia,Ukwa East,Tinubu Bola Ahmed,APC,
217,Abia,Ukwa East,Abubakar Atiku,PDP,
218,Abia,Ukwa East,Obi Peter Gregory,LP,
219,Abia,Ukwa East,Musa Mohammed Rabiu Kwankwaso,NNPP,
220,Abia,Ukwa East,Kachikwu Dumebi,ADC,
221,Abia,Ukwa East,Umeadi Peter Nnanna Chukwudi,APGA,
222,Abia,Ukwa East,Sani Yabagi Yusuf,ADP,
223,Abia,Ukwa East,Imumolen Irene Christopher,A,
224,Abia,Ukwa East,Almustapha Hamza,AA,
225,Abia,Ukwa East,Sowore Omoyele Stephen,AAC,
226,Abia,Ukwa East,Ojei Princess Chichi,APM,
227,Abia,Ukwa East,Nnadi Charles Osita,APP,
228,Abia,Ukwa East,Adenuga Sunday Oluwafemi,BP,
229,Abia,Ukwa East,Osakwe Felix Johnson,NRM,
230,Abia,Ukwa East,Abiola Latifu Kolawole,PRP,
231,Abia,Ukwa East,Adebayo Adewole Ebenezer,SDP,
232,Abia,Ukwa East,Ado-Ibrahim Abdulmalik,YPP,
233,Abia,Ukwa East,Nwanyanwu Daniel Daberechukwu,ZLP,
234,Abia,Ukwa West,Tinubu Bola Ahmed,APC,
235,Abia,Ukwa West,Abubakar Atiku,PDP,
236,Abia,Ukwa West,Obi Peter Gregory,LP,
237,Abia,Ukwa West,Musa Mohammed Rabiu Kwankwaso,NNPP,
238,Abia,Ukwa West,Kachikwu Dumebi,ADC,
239,Abia,Ukwa West,Umeadi Peter Nnanna Chukwudi,APGA,
240,Abia,Ukwa West,Sani Yabagi Yusuf,ADP,
241,Abia,Ukwa West,Imumolen Irene Christopher,A,
242,Abia,Ukwa West,Almustapha Hamza,AA,
243,Abia,Ukwa West,Sowore Omoyele Stephen,AAC,
244,Abia,Ukwa West,Ojei Princess Chichi,APM,
245,Abia,Ukwa West,Nnadi Charles Osita,APP,
246,Abia,Ukwa West,Adenuga Sunday Oluwafemi,BP,
247,Abia,Ukwa West,Osakwe Felix Johnson,NRM,
248,Abia,Ukwa West,Abiola Latifu Kolawole,PRP,
249,Abia,Ukwa West,Adebayo Adewole Ebenezer,SDP,
250,Abia,Ukwa West,Ado-Ibrahim Abdulmalik,YPP,
251,Abia,Ukwa West,Nwanyanwu Daniel Daberechukwu,ZLP,
252,Abia,Umuahia North,Tinubu Bola Ahmed,APC,795
253,Abia,Umuahia North,Abubakar Atiku,PDP,1529
254,Abia,Umuahia North,Obi Peter Gregory,LP,51318
255,Abia,Umuahia North,Musa Mohammed Rabiu Kwankwaso,NNPP,112
256,Abia,Umuahia North,Kachikwu Dumebi,ADC,124
257,Abia,Umuahia North,Umeadi Peter Nnanna Chukwudi,APGA,190
258,Abia,Umuahia North,Sani Yabagi Yusuf,ADP,28
259,Abia,Umuahia North,Imumolen Irene Christopher,A,42
260,Abia,Umuahia North,Almustapha Hamza,AA,15
261,Abia,Umuahia North,Sowore Omoyele Stephen,AAC,17
262,Abia,Umuahia North,Ojei Princess Chichi,APM,48
263,Abia,Umuahia North,Nnadi Charles Osita,APP,33
264,Abia,Umuahia North,Adenuga Sunday Oluwafemi,BP,52
265,Abia,Umuahia North,Osakwe Felix Johnson,NRM,10
266,Abia,Umuahia North,Abiola Latifu Kolawole,PRP,10
267,Abia,Umuahia North,Adebayo Adewole Ebenezer,SDP,11
268,Abia,Umuahia North,Ado-Ibrahim Abdulmalik,YPP,113
269,Abia,Umuahia North,Nwanyanwu Daniel Daberechukwu,ZLP,91
270,Abia,Umuahia South,Tinubu Bola Ahmed,APC,
271,Abia,Umuahia South,Abubakar Atiku,PDP,
272,Abia,Umuahia South,Obi Peter Gregory,LP,
273,Abia,Umuahia South,Musa Mohammed Rabiu Kwankwaso,NNPP,
274,Abia,Umuahia South,Kachikwu Dumebi,ADC,
275,Abia,Umuahia South,Umeadi Peter Nnanna Chukwudi,APGA,
276,Abia,Umuahia South,Sani Yabagi Yusuf,ADP,
277,Abia,Umuahia South,Imumolen Irene Christopher,A,
278,Abia,Umuahia South,Almustapha Hamza,AA,
279,Abia,Umuahia South,Sowore Omoyele Stephen,AAC,
280,Abia,Umuahia South,Ojei Princess Chichi,APM,
281,Abia,Umuahia South,Nnadi Charles Osita,APP,
282,Abia,Umuahia South,Adenuga Sunday Oluwafemi,BP,
283,Abia,Umuahia South,Osakwe Felix Johnson,NRM,
284,Abia,Umuahia South,Abiola Latifu Kolawole,PRP,
285,Abia,Umuahia South,Adebayo Adewole Ebenezer,SDP,
286,Abia,Umuahia South,Ado-Ibrahim Abdulmalik,YPP,
287,Abia,Umuahia South,Nwanyanwu Daniel Daberechukwu,ZLP,
288,Abia,Umu - Nneochi,Tinubu Bola Ahmed,APC,
289,Abia,Umu - Nneochi,Abubakar Atiku,PDP,
290,Abia,Umu - Nneochi,Obi Peter Gregory,LP,
291,Abia,Umu - Nneochi,Musa Mohammed Rabiu Kwankwaso,NNPP,
292,Abia,Umu - Nneochi,Kachikwu Dumebi,ADC,
293,Abia,Umu - Nneochi,Umeadi Peter Nnanna Chukwudi,APGA,
294,Abia,Umu - Nneochi,Sani Yabagi Yusuf,ADP,
295,Abia,Umu - Nneochi,Imumolen Irene Christopher,A,
296,Abia,Umu - Nneochi,Almustapha Hamza,AA,
297,Abia,Umu - Nneochi,Sowore Omoyele Stephen,AAC,
298,Abia,Umu - Nneochi,Ojei Princess Chichi,APM,
299,Abia,Umu - Nneochi,Nnadi Charles Osita,APP,
300,Abia,Umu - Nneochi,Adenuga Sunday Oluwafemi,BP,
301,Abia,Umu - Nneochi,Osakwe Felix Johnson,NRM,
302,Abia,Umu - Nneochi,Abiola Latifu Kolawole,PRP,
303,Abia,Umu - Nneochi,Adebayo Adewole Ebenezer,SDP,
304,Abia,Umu - Nneochi,Ado-Ibrahim Abdulmalik,YPP,
305,Abia,Umu - Nneochi,Nwanyanwu Daniel Daberechukwu,ZLP,
306,Adamawa,Demsa,Tinubu Bola Ahmed,APC,5746
307,Adamawa,Demsa,Abubakar Atiku,PDP,17166
308,Adamawa,Demsa,Obi Peter Gregory,LP,7962
309,Adamawa,Demsa,Musa Mohammed Rabiu Kwankwaso,NNPP,199
310,Adamawa,Demsa,Kachikwu Dumebi,ADC,262
311,Adamawa,Demsa,Umeadi Peter Nnanna Chukwudi,APGA,63
312,Adamawa,Demsa,Sani Yabagi Yusuf,ADP,110
313,Adamawa,Demsa,Imumolen Irene Christopher,A,54
314,Adamawa,Demsa,Almustapha Hamza,AA,9
315,Adamawa,Demsa,Sowore Omoyele Stephen,AAC,60
316,Adamawa,Demsa,Ojei Princess Chichi,APM,33
317,Adamawa,Demsa,Nnadi Charles Osita,APP,17
318,Adamawa,Demsa,Adenuga Sunday Oluwafemi,BP,52
319,Adamawa,Demsa,Osakwe Felix Johnson,NRM,63
320,Adamawa,Demsa,Abiola Latifu Kolawole,PRP,34
321,Adamawa,Demsa,Adebayo Adewole Ebenezer,SDP,95
322,Adamawa,Demsa,Ado-Ibrahim Abdulmalik,YPP,10
323,Adamawa,Demsa,Nwanyanwu Daniel Daberechukwu,ZLP,175
324,Adamawa,Fufore,Tinubu Bola Ahmed,APC,12633
325,Adamawa,Fufore,Abubakar Atiku,PDP,26059
326,Adamawa,Fufore,Obi Peter Gregory,LP,897
327,Adamawa,Fufore,Musa Mohammed Rabiu Kwankwaso,NNPP,508
328,Adamawa,Fufore,Kachikwu Dumebi,ADC,122
329,Adamawa,Fufore,Umeadi Peter Nnanna Chukwudi,APGA,49
330,Adamawa,Fufore,Sani Yabagi Yusuf,ADP,94
331,Adamawa,Fufore,Imumolen Irene Christopher,A,16
332,Adamawa,Fufore,Almustapha Hamza,AA,16
333,Adamawa,Fufore,Sowore Omoyele Stephen,AAC,15
334,Adamawa,Fufore,Ojei Princess Chichi,APM,33
335,Adamawa,Fufore,Nnadi Charles Osita,APP,10
336,Adamawa,Fufore,Adenuga Sunday Oluwafemi,BP,17
337,Adamawa,Fufore,Osakwe Felix Johnson,NRM,114
338,Adamawa,Fufore,Abiola Latifu Kolawole,PRP,32
339,Adamawa,Fufore,Adebayo Adewole Ebenezer,SDP,41
340,Adamawa,Fufore,Ado-Ibrahim Abdulmalik,YPP,33
341,Adamawa,Fufore,Nwanyanwu Daniel Daberechukwu,ZLP,23
342,Adamawa,Ganye,Tinubu Bola Ahmed,APC,10112
343,Adamawa,Ganye,Abubakar Atiku,PDP,21672
344,Adamawa,Ganye,Obi Peter Gregory,LP,1069
345,Adamawa,Ganye,Musa Mohammed Rabiu Kwankwaso,NNPP,191
346,Adamawa,Ganye,Kachikwu Dumebi,ADC,105
347,Adamawa,Ganye,Umeadi Peter Nnanna Chukwudi,APGA,65
348,Adamawa,Ganye,Sani Yabagi Yusuf,ADP,152
349,Adamawa,Ganye,Imumolen Irene Christopher,A,25
350,Adamawa,Ganye,Almustapha Hamza,AA,21
351,Adamawa,Ganye,Sowore Omoyele Stephen,AAC,25
352,Adamawa,Ganye,Ojei Princess Chichi,APM,33
353,Adamawa,Ganye,Nnadi Charles Osita,APP,20
354,Adamawa,Ganye,Adenuga Sunday Oluwafemi,BP,12
355,Adamawa,Ganye,Osakwe Felix Johnson,NRM,94
356,Adamawa,Ganye,Abiola Latifu Kolawole,PRP,38
357,Adamawa,Ganye,Adebayo Adewole Ebenezer,SDP,32
358,Adamawa,Ganye,Ado-Ibrahim Abdulmalik,YPP,49
359,Adamawa,Ganye,Nwanyanwu Daniel Daberechukwu,ZLP,68
360,Adamawa,Girei,Tinubu Bola Ahmed,APC,8551
361,Adamawa,Girei,Abubakar Atiku,PDP,17557
362,Adamawa,Girei,Obi Peter Gregory,LP,3745
363,Adamawa,Girei,Musa Mohammed Rabiu Kwankwaso,NNPP,254
364,Adamawa,Girei,Kachikwu Dumebi,ADC,100
365,Adamawa,Girei,Umeadi Peter Nnanna Chukwudi,APGA,23
366,Adamawa,Girei,Sani Yabagi Yusuf,ADP,68
367,Adamawa,Girei,Imumolen Irene Christopher,A,11
368,Adamawa,Girei,Almustapha Hamza,AA,19
369,Adamawa,Girei,Sowore Omoyele Stephen,AAC,12
370,Adamawa,Girei,Ojei Princess Chichi,APM,20
371,Adamawa,Girei,Nnadi Charles Osita,APP,13
372,Adamawa,Girei,Adenuga Sunday Oluwafemi,BP,11
373,Adamawa,Girei,Osakwe Felix Johnson,NRM,63
374,Adamawa,Girei,Abiola Latifu Kolawole,PRP,25
375,Adamawa,Girei,Adebayo Adewole Ebenezer,SDP,28
376,Adamawa,Girei,Ado-Ibrahim Abdulmalik,YPP,42
377,Adamawa,Girei,Nwanyanwu Daniel Daberechukwu,ZLP,67
378,Adamawa,Gombi,Tinubu Bola Ahmed,APC,
379,Adamawa,Gombi,Abubakar Atiku,PDP,
380,Adamawa,Gombi,Obi Peter Gregory,LP,
381,Adamawa,Gombi,Musa Mohammed Rabiu Kwankwaso,NNPP,
382,Adamawa,Gombi,Kachikwu Dumebi,ADC,
383,Adamawa,Gombi,Umeadi Peter Nnanna Chukwudi,APGA,
384,Adamawa,Gombi,Sani Yabagi Yusuf,ADP,
385,Adamawa,Gombi,Imumolen Irene Christopher,A,
386,Adamawa,Gombi,Almustapha Hamza,AA,
387,Adamawa,Gombi,Sowore Omoyele Stephen,AAC,
388,Adamawa,Gombi,Ojei Princess Chichi,APM,
389,Adamawa,Gombi,Nnadi Charles Osita,APP,
390,Adamawa,Gombi,Adenuga Sunday Oluwafemi,BP,
391,Adamawa,Gombi,Osakwe Felix Johnson,NRM,
392,Adamawa,Gombi,Abiola Latifu Kolawole,PRP,
393,Adamawa,Gombi,Adebayo Adewole Ebenezer,SDP,
394,Adamawa,Gombi,Ado-Ibrahim Abdulmalik,YPP,
395,Adamawa,Gombi,Nwanyanwu Daniel Daberechukwu,ZLP,
396,Adamawa,Guyuk,Tinubu Bola Ahmed,APC,5904
397,Adamawa,Guyuk,Abubakar Atiku,PDP,13942
398,Adamawa,Guyuk,Obi Peter Gregory,LP,8165
399,Adamawa,Guyuk,Musa Mohammed Rabiu Kwankwaso,NNPP,91
400,Adamawa,Guyuk,Kachikwu Dumebi,ADC,109
401,Adamawa,Guyuk,Umeadi Peter Nnanna Chukwudi,APGA,15
402,Adamawa,Guyuk,Sani Yabagi Yusuf,ADP,54
403,Adamawa,Guyuk,Imumolen Irene Christopher,A,23
404,Adamawa,Guyuk,Almustapha Hamza,AA,14
405,Adamawa,Guyuk,Sowore Omoyele Stephen,AAC,29
406,Adamawa,Guyuk,Ojei Princess Chichi,APM,8
407,Adamawa,Guyuk,Nnadi Charles Osita,APP,13
408,Adamawa,Guyuk,Adenuga Sunday Oluwafemi,BP,17
409,Adamawa,Guyuk,Osakwe Felix Johnson,NRM,30
410,Adamawa,Guyuk,Abiola Latifu Kolawole,PRP,19
411,Adamawa,Guyuk,Adebayo Adewole Ebenezer,SDP,152
412,Adamawa,Guyuk,Ado-Ibrahim Abdulmalik,YPP,6
413,Adamawa,Guyuk,Nwanyanwu Daniel Daberechukwu,ZLP,126
414,Adamawa,Hong,Tinubu Bola Ahmed,APC,
415,Adamawa,Hong,Abubakar Atiku,PDP,
416,Adamawa,Hong,Obi Peter Gregory,LP,
417,Adamawa,Hong,Musa Mohammed Rabiu Kwankwaso,NNPP,
418,Adamawa,Hong,Kachikwu Dumebi,ADC,
419,Adamawa,Hong,Umeadi Peter Nnanna Chukwudi,APGA,
420,Adamawa,Hong,Sani Yabagi Yusuf,ADP,
421,Adamawa,Hong,Imumolen Irene Christopher,A,
422,Adamawa,Hong,Almustapha Hamza,AA,
423,Adamawa,Hong,Sowore Omoyele Stephen,AAC,
424,Adamawa,Hong,Ojei Princess Chichi,APM,
425,Adamawa,Hong,Nnadi Charles Osita,APP,
